日付,コ_ド,_柄名,市_·商品区分,33__コ_ド,33__区分,17__コ_ド,17__区分,_模コ_ド,_模区分
20220729,1301,_洋,プライム（内国株式）,50,水_·_林_,1,食品 ,7,TOPIX Small 2
20220729,1305,ダイワ上_投信－トピックス,ETF·ETN,-,-,-,-,-,-
20220729,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1308,上_インデックスファンドＴＯＰＩＸ,ETF·ETN,-,-,-,-,-,-
20220729,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ·中国株式·上_５０__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1312,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コア·インデックス__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1313,サムスンＫＯＤＥＸ２００_券上_指数投_信_［株式］,ETF·ETN,-,-,-,-,-,-
20220729,1319,ＮＥＸＴ　ＦＵＮＤＳ　日_３００株_指数__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1320,ダイワ上_投信－日_２２５,ETF·ETN,-,-,-,-,-,-
20220729,1321,ＮＥＸＴ　ＦＵＮＤＳ　日_２２５__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1322,上_インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF·ETN,-,-,-,-,-,-
20220729,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数·ボベスパ__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1326,ＳＰＤＲゴ_ルド·シェア,ETF·ETN,-,-,-,-,-,-
20220729,1328,ＮＥＸＴ　ＦＵＮＤＳ　金_格__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1329,ｉシェア_ズ·コア　日_２２５　ＥＴＦ,ETF·ETN,-,-,-,-,-,-
20220729,1330,上_インデックスファンド２２５,ETF·ETN,-,-,-,-,-,-
20220729,1332,日本水_,プライム（内国株式）,50,水_·_林_,1,食品 ,4,TOPIX Mid400
20220729,1333,マルハニチロ,プライム（内国株式）,50,水_·_林_,1,食品 ,4,TOPIX Mid400
20220729,1343,ＮＥＸＴ　ＦＵＮＤＳ　__ＲＥＩＴ指数__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1345,上_インデックスファンドＪリ_ト（__ＲＥＩＴ指数）隔月分配型,ETF·ETN,-,-,-,-,-,-
20220729,1346,ＭＡＸＩＳ　日_２２５上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1348,ＭＡＸＩＳ　トピックス上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1349,ＡＢＦ_アジア_券インデックス·ファンド,ETF·ETN,-,-,-,-,-,-
20220729,1356,ＴＯＰＩＸベア２倍上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1357,ＮＥＸＴ　ＦＵＮＤＳ　日_平均ダブルインバ_ス·インデックス__型上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1358,上_インデックスファンド日_レバレッジ指数,ETF·ETN,-,-,-,-,-,-
20220729,1360,日_平均ベア２倍上_投信,ETF·ETN,-,-,-,-,-,-
20220729,1364,ｉシェア_ズ　ＪＰＸ日_４００　ＥＴＦ,ETF·ETN,-,-,-,-,-,-
20220729,1365,ダイワ上_投信－日_平均レバレッジ·インデックス,ETF·ETN,-,-,-,-,-,-
